museum_id,museum,city,cluster,total_area_sqm,collection_size,visitors_latest,adult_price_local_usd,predicted_price_usd,city_gdp_per_capita,big_mac_index,admission_free_yn,has_dual_pricing,latitude,longitude,pca1,pca2
1001,Musée du Louvre,Paris,0,758000.0,615797.0,8737050.0,25.52,28.429797500031228,85000,7.59,N,Y,48.8606,2.3376,4.987391422002259,-0.2868524392549695
1002,Vatican Museums,Vatican City,0,55000.0,70000.0,6825436.0,23.2,17.215642780881936,38000,6.96,N,N,41.9068,12.4534,1.2841947550340502,0.08905543030910512
1003,British Museum,London,2,92000.0,8000000.0,6479952.0,0.0,29.05150510499179,80000,7.06,Y,N,51.5194,-0.1269,0.37779237972517166,1.5496664665712707
1004,Metropolitan Museum of Art,New York,0,200000.0,2000000.0,5727258.0,30.0,27.00109316079876,100000,6.09,N,Y,40.7794,-73.9632,2.3448135348612413,-0.0017380863459851646
1005,Tate Modern,London,1,34500.0,70000.0,4603025.0,0.0,23.319013281453593,80000,7.06,Y,N,51.5078,-0.0995,-0.165610782676793,-0.3232912658870705
1006,Shanghai Museum East,Shanghai,1,113000.0,147044.0,4234046.0,0.0,6.7095471825273165,27000,3.69,Y,N,31.2195,121.54,-1.2519624615125726,-2.5579623492132355
1007,National Gallery of Art,Washington DC,1,120000.0,150000.0,3936543.0,0.0,23.145982741154327,95000,6.09,Y,N,38.8913,-77.023,0.39550644939667146,0.6635267376999711
1008,National Museum of Korea,Seoul,1,146766.0,420000.0,3788785.0,0.0,12.199781081042218,45000,3.72,Y,N,37.524,126.9799,-0.5410076997595987,-0.645290620748682
1009,Musée d'Orsay,Paris,0,57400.0,150000.0,3751141.0,18.56,25.624901149716138,85000,7.59,N,N,48.86,2.3266,0.7727883354570757,0.3501526608039848
1010,Museo Nacional de Antropología,Mexico City,1,45000.0,600000.0,3700000.0,5.4,13.181371828978982,25000,6.16,N,Y,19.4261,-99.1861,-0.9604995580111001,-0.686376341406084
1011,State Russian Museum,St Petersburg,1,40000.0,400000.0,3611899.0,5.5,2.3321859888454384,20000,2.56,N,Y,59.9386,30.3322,-0.9544220569234259,-0.37000255076821165
1012,State Hermitage Museum,St Petersburg,1,233345.0,3000000.0,3563590.0,5.5,4.535376482370552,20000,2.56,N,Y,59.9406,30.3136,-0.3654686190943334,0.1204457765877112
1013,Victoria and Albert Museum,London,1,30000.0,2300000.0,3525700.0,0.0,26.77875822851597,80000,7.06,Y,N,51.4964,-0.172,-0.5596280745507447,0.26401821204053616
1014,Museo Nacional del Prado,Madrid,1,42000.0,35000.0,3457057.0,17.4,15.447219329477988,40000,6.77,N,N,40.4137,-3.693,-0.09152118903665961,-0.12791113216193642
1016,Tokyo National Museum,Tokyo,1,110000.0,120000.0,2436368.0,6.58,10.335735180844082,55000,3.05,N,N,35.7188,139.7766,-0.7634751026162484,-1.1301266022524332
1017,National Museum of Scotland,Edinburgh,2,16000.0,12000000.0,2314974.0,0.0,23.90888125940883,50000,7.06,Y,N,55.9472,-3.1891,-1.397769942256935,3.402305274170016
1018,MMCA Seoul,Seoul,1,52125.0,9500.0,1655834.0,2.99,6.799000087924739,45000,3.72,N,N,37.5785,126.98,-1.3554652841607568,-0.6326010603939207
1019,Museum of New Zealand Te Papa Tongarewa,Wellington,1,36000.0,800000.0,1146854.0,0.0,15.57522185004801,50000,5.22,Y,N,-41.2905,174.782,-1.3646909538119452,0.6692584510219014
1020,Museo Egizio,Turin,1,10000.0,40000.0,1036689.0,17.4,13.819308408595546,38000,6.96,N,N,45.0684,7.6843,-0.8721700644645415,0.2215687360982485
1023,Museum of Modern Art (MoMA),New York,0,65800.0,200000.0,2657377.0,30.0,23.328368101534707,100000,6.09,N,N,40.7614,-73.9776,1.017701248705031,-0.2562738237807939
1024,National Gallery,London,1,46396.0,2300.0,3203451.0,0.0,19.016559849406732,80000,7.06,Y,N,51.5089,-0.1283,-0.5364963363058451,-0.31157147308942273
