museum_id,0,1,2,3,4,5
1001,0.02,0.04,0.04,0.08,0.73,0.08
1002,0.02,0.02,0.08,0.07,0.78,0.02
1003,0.06,0.2,0.2,0.26,0.22,0.06
1004,0.04,0.24,0.15,0.25,0.2,0.13
1005,0.04,0.6,0.06,0.03,0.01,0.26
1006,0.11,0.38,0.26,0.13,0.13,0.0
1007,0.3,0.25,0.11,0.09,0.06,0.21
1008,0.02,0.4,0.17,0.36,0.02,0.02
1009,0.05,0.1,0.04,0.03,0.32,0.48
1010,0.01,0.15,0.28,0.34,0.18,0.03
1012,0.13,0.07,0.06,0.07,0.42,0.25
1013,0.15,0.4,0.22,0.18,0.04,0.02
1014,0.34,0.09,0.07,0.02,0.42,0.06
1016,0.0,0.28,0.12,0.5,0.08,0.03
1017,0.02,0.5,0.08,0.34,0.03,0.04
1018,0.04,0.5,0.14,0.08,0.06,0.18
1019,0.02,0.32,0.49,0.12,0.02,0.03
1020,0.04,0.06,0.37,0.31,0.18,0.05
1023,0.04,0.26,0.08,0.04,0.08,0.5
1024,0.47,0.18,0.06,0.04,0.12,0.14
